name;location;price;currency;rating;checkin_date;checkout_date
Alexander am Zoo;Ostend, Frankfurt;150.0;EUR;8.4;2024-07-02;2024-07-03
Crowne Plaza Frankfurt Congress Hotel, an IHG Hotel;Niederrad, Frankfurt;170.0;EUR;7.6;2024-07-02;2024-07-03
Dorint Main Taunus Frankfurt/Sulzbach;Frankfurt;164.0;EUR;7.7;2024-07-02;2024-07-03
Europa Style;Gutleutviertel, Frankfurt;282.0;EUR;8.4;2024-07-02;2024-07-03
Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;229.0;EUR;8.0;2024-07-02;2024-07-03
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;296.0;EUR;8.3;2024-07-02;2024-07-03
Hampton By Hilton Frankfurt Airport;Frankfurt Airport Area, Frankfurt;185.0;EUR;8.3;2024-07-02;2024-07-03
Hampton By Hilton Frankfurt City Centre East;Ostend, Frankfurt;231.0;EUR;8.4;2024-07-02;2024-07-03
Holiday Inn Frankfurt - Alte Oper, an IHG Hotel;Bahnhofsviertel, Frankfurt;289.0;EUR;8.3;2024-07-02;2024-07-03
Hotel Europa Life;Gutleutviertel, Frankfurt;263.0;EUR;8.3;2024-07-02;2024-07-03
Hyatt Place Frankfurt Airport;Frankfurt Airport Area, Frankfurt;155.0;EUR;8.4;2024-07-02;2024-07-03
INNSiDE by Meliá Frankfurt Eurotheum;Frankfurt City Center (Old Town), Frankfurt;299.0;EUR;7.9;2024-07-02;2024-07-03
Leonardo Royal Hotel Frankfurt;Sachsenhausen, Frankfurt;125.0;EUR;7.5;2024-07-02;2024-07-03
Lindley Lindenberg;Ostend, Frankfurt;263.0;EUR;8.3;2024-07-02;2024-07-03
Motel One Frankfurt Airport;Niederrad, Frankfurt;183.0;EUR;8.3;2024-07-02;2024-07-03
Mövenpick Hotel Frankfurt City Messe;Gallusviertel, Frankfurt;283.0;EUR;7.8;2024-07-02;2024-07-03
Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;168.0;EUR;8.0;2024-07-02;2024-07-03
Pearl Design Hotel - Frankfurt City;Gutleutviertel, Frankfurt;243.0;EUR;7.6;2024-07-02;2024-07-03
Plaza Hotel & Living Frankfurt;Ostend, Frankfurt;152.0;EUR;7.0;2024-07-02;2024-07-03
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;258.0;EUR;8.2;2024-07-02;2024-07-03
Roomers, Frankfurt, a Member of Design Hotels;Frankfurt;330.0;EUR;8.3;2024-07-02;2024-07-03
Scandic Frankfurt Hafenpark;Ostend, Frankfurt;161.0;EUR;8.7;2024-07-02;2024-07-03
Sheraton Frankfurt Airport Hotel & Conference Center;Frankfurt Airport Area, Frankfurt;195.0;EUR;8.0;2024-07-02;2024-07-03
Steigenberger Icon Frankfurter Hof;Frankfurt City Center (Old Town), Frankfurt;348.0;EUR;8.5;2024-07-02;2024-07-03
Villa Westend Hotel an der Messe;Westend, Frankfurt;330.0;EUR;7.9;2024-07-02;2024-07-03
mainhaus Stadthotel Frankfurt;Frankfurt City Center (Old Town), Frankfurt;230.0;EUR;8.0;2024-07-02;2024-07-03
