name;location;price;currency;rating;checkin_date;checkout_date
Avani Frankfurt City Hotel - previously NH Collection Frankfurt City;Frankfurt City Center (Old Town), Frankfurt;129.0;EUR;8.3;2024-07-11;2024-07-12
Best Western Plus Welcome Hotel Frankfurt;Bockenheim, Frankfurt;120.0;EUR;8.0;2024-07-11;2024-07-12
Europa Style;Gutleutviertel, Frankfurt;172.0;EUR;8.4;2024-07-11;2024-07-12
Flemings Hotel Frankfurt-Central;Gallusviertel, Frankfurt;116.0;EUR;8.0;2024-07-11;2024-07-12
Flemings Selection Hotel Frankfurt-City;Frankfurt City Center (Old Town), Frankfurt;175.0;EUR;8.3;2024-07-11;2024-07-12
Hampton By Hilton Frankfurt Airport;Frankfurt Airport Area, Frankfurt;135.0;EUR;8.3;2024-07-11;2024-07-12
Hilton Garden Inn Frankfurt City Centre;Bahnhofsviertel, Frankfurt;134.0;EUR;7.9;2024-07-11;2024-07-12
Holiday Inn Frankfurt - Alte Oper, an IHG Hotel;Bahnhofsviertel, Frankfurt;129.0;EUR;8.3;2024-07-11;2024-07-12
Homaris Apartments Frankfurt - Digital Check-In;Frankfurt City Center (Old Town), Frankfurt;102.0;EUR;8.1;2024-07-11;2024-07-12
Hotel Monopol - Central Station;Gutleutviertel, Frankfurt;109.0;EUR;7.3;2024-07-11;2024-07-12
Hyatt Place Frankfurt Airport;Frankfurt Airport Area, Frankfurt;132.0;EUR;8.4;2024-07-11;2024-07-12
Leonardo Hotel Frankfurt City Center;Bahnhofsviertel, Frankfurt;94.0;EUR;7.6;2024-07-11;2024-07-12
Meliá Frankfurt City;Westend, Frankfurt;173.0;EUR;8.5;2024-07-11;2024-07-12
Motel One Frankfurt Messe;Gallusviertel, Frankfurt;123.0;EUR;8.5;2024-07-11;2024-07-12
NH Collection Frankfurt Spin Tower;Gallusviertel, Frankfurt;125.0;EUR;8.7;2024-07-11;2024-07-12
Park Inn by Radisson Frankfurt Airport;Frankfurt Airport Area, Frankfurt;130.0;EUR;8.0;2024-07-11;2024-07-12
Pearl Design Hotel - Frankfurt City;Gutleutviertel, Frankfurt;153.0;EUR;7.6;2024-07-11;2024-07-12
Radisson Blu Hotel Frankfurt;Bockenheim, Frankfurt;131.0;EUR;8.2;2024-07-11;2024-07-12
Residence Inn by Marriott Frankfurt City Center;Frankfurt City Center (Old Town), Frankfurt;148.0;EUR;8.0;2024-07-11;2024-07-12
Roomers, Frankfurt, a Member of Design Hotels;Frankfurt;244.0;EUR;8.3;2024-07-11;2024-07-12
Sheraton Frankfurt Airport Hotel & Conference Center;Frankfurt Airport Area, Frankfurt;174.0;EUR;8.0;2024-07-11;2024-07-12
Steigenberger Icon Frankfurter Hof;Frankfurt City Center (Old Town), Frankfurt;268.0;EUR;8.5;2024-07-11;2024-07-12
THE FLAG West M.;Westend, Frankfurt;174.0;EUR;8.3;2024-07-11;2024-07-12
Turm Hotel;Nordend, Frankfurt;159.0;EUR;8.1;2024-07-11;2024-07-12
Villa Westend Hotel an der Messe;Westend, Frankfurt;153.0;EUR;7.9;2024-07-11;2024-07-12
nhow Frankfurt;Frankfurt;125.0;EUR;8.8;2024-07-11;2024-07-12
